IPO Name,Listing Date,Allotment Price (INR),Listing Return (%),IPO Price,Listing Returns (%),1 Week Returns (%),4 Week Returns (%),6 Week Returns (%),IPO Price (INR),IPO Company
HG Infra Engineering,3/9/2018,270,(0.83),,,,,,,
Aster DM Healthcare,2/26/2018,190,(4.45),,,,,,,
Galaxy Surfactants,2/8/2018,"1,480",14.90,,,,,,,
Amber Enterprises,1/30/2018,859,44.97,,,,,,,
Newgen Software,1/29/2018,245,3.02,,,,,,,
Apollo Microsystems,1/22/2018,275,60.65,,,,,,,
,07/25/2017,,,108,143.1,135.5,86.4,133.5,,Salasar Techno Engineering
,12/29/2017,,,50,141.5,207.9,181.4,162.2,,Astron Paper & Board
,03/21/2017,,,299,114.6,110.3,144.2,151.6,,Avenue Supermarts
,06/30/2017,,,149,75.6,122.2,150.7,104.4,,CDSL
,09/18/2017,,,"1,766",63.7,48.0,51.3,55.0,,Dixon Technologies
,07/10/2017,,,358,51.3,66.5,54.0,50.9,,AU Small Finance Bank
,10/18/2017,,,459,42.6,42.8,28.2,41.5,,MAS Financial Services
,04/05/2017,,,460,37.5,64.8,47.1,52.3,,Shankara Building Products
,09/25/2017,,,250,37.0,33.2,36.9,53.1,,Capacit’e Infraprojects
,02/03/2017,,,806,32.7,24.7,10.5,17.1,,BSE Limited
,10/16/2017,,,460,29.5,26.5,17.0,18.3,,Godrej Agrovet
,08/11/2017,,,411,28.5,30.0,33.6,29.7,,Cochin Shipyard*
,10/05/2017,,,938,25.9,32.9,25.0,25.8,,Prataap Snacks
,05/19/2017,,,60,25.1,25.8,18.2,15.7,,HUDCO*
,09/04/2017,,,175,21.2,54.6,75.5,161.7,,Apex Frozen Foods
,11/17/2017,,,290,18.8,27.8,31.5,33.1,,HDFC Standard Life Insurance
,11/06/2017,,,252,12.9,14.0,1.2,3.2,,Reliance Nippon Life Asset Management
,03/17/2017,,,333,12.0,7.7,4.6,5.2,,Music Broadcast
,12/18/2017,,,664,3.4,2.6,7.7,3.5,,Future Supply Chain Solutions
,09/27/2017,,,661,3.1,3.1,3.4,2.7,,ICICI Lombard
,06/27/2017,,,257,2.5,18.6,30.6,29.4,,Tejas Networks
,09/18/2017,,,205,1.7,-7.4,-13.3,-16.0,,Bharat Road Network
,10/03/2017,,,700,1.1,0.0,-5.4,-5.7,,SBI Life Insurance
,07/04/2017,,,170,1.0,4.3,-10.7,-10.0,,GTPL Hathway
,05/09/2017,,,670,0.9,-8.2,-16.3,-25.0,,S Chand & Company
,10/25/2017,,,867,0.8,-2.2,-7.9,-7.6,,GIC*
,09/21/2017,,,898,0.7,-11.8,-5.7,-2.2,,Matrimony.com*
,11/10/2017,,,429,0.1,-4.9,3.1,5.1,,MahindraLogistics
,05/18/2017,,,102,-0.2,-1.0,-2.6,-6.7,,IRB InvIT Fund
,06/29/2017,,,603,-0.2,-0.9,-2.3,-12.0,,Eris Lifesciences
,10/23/2017,,,"1,650",-1.3,-5.0,-8.2,-8.7,,Indian Energy Exchange
,06/06/2017,,,100,-1.4,-3.7,-6.8,-7.0,,Indigrid InvIT Fund
